ID,SMILES,T.cruzi,Tb.brucei,Tb.rhodesiense
2328,CCCCC[P+](CCCCC)(CCCCC)CC1=CC=C(C=C1)C(=O)C1=CC=C(C[P+](CCCCC)(CCCCC)CCCCC)C=C1,,,1.0
921,CN1CCN(CC1)C(C(=O)NC1=CC=C(NC(=O)C2=CC=C3C=CC=CC3=C2)C=C1C(=O)C1=CC=CC=C1)C1=CC=CC=C1,,1.0,
1127,OB1OCC2=CC=C(C=C12)N1C=CC=C1C(O)=O,,1.0,
1026,COC1=CC=C(C=C1OCC1=CC=CC=N1)C1=NN(C2CCCCCC2)C(=O)C1(C)C,,1.0,
1364,CCCC(=O)C1=CC=C2NC(=O)C(C2=C1)=C1C(=O)N(C2OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O)C2=CC=C(Br)C=C12,,,1.0
1673,COC1=CC(=CC=C1OCCCOC1=CC=C(C=C1OC)C(N)=N)C(N)=N,,,1.0
7766,[H]OC1=NC(=NN=C1C([H])([H])[H])N([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],0.0,,
5520,[H]C1=C([H])C(=C([H])C([H])=C1OC([H])([H])[H])C([H])([H])C([H])([H])N1C(=O)C([H])([H])C([H])(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C1=O,0.0,,
6330,[H]OC([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])P(=O)(O[H])C([H])([H])C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],0.0,,
1421,CC1=NC(=CN1C1=CC=C(Br)C(C)=C1)[N+]([O-])=O,,,0.0
7800,[H]N(C(=O)C1=C([H])C([H])=C(C([H])=C1[H])S(=O)(=O)N1C2=C(C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C1([H])[H])C1=NN=C(O1)C([H])([H])OC([H])([H])[H],0.0,,
768,CCC1(O)CC2CN(C1)CCC1=C(NC3=CC=CC=C13)C(C2)(C(=O)OC)C1=CC2=C(C=C1OC)N(C)C1C22CCN3CC=CC(CC)(C23)C(OC(C)=O)C1(O)C(=O)OC,,1.0,
5638,[H]N(C(=O)C1=C([H])C([H])=C(N([H])S(=O)(=O)C2=C(ON=C2C([H])([H])[H])C([H])([H])[H])C([H])=C1[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])[H],0.0,,
7680,[H]N(C(=O)C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.0,,
3823,[H]N([H])C1=NC2=C(C([H])=C(C(=N2)C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C(=N1)N([H])[H],1.0,,
5746,[H]C1=C([H])C2=C(C([H])=C1[H])C([H])(C(=O)N1C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])S(=O)(=O)C([H])([H])[H])C1=C(O2)C([H])=C([H])C([H])=C1[H],0.0,,
1721,COC1=CC(=O)OC(C=CC2=CC=CC=C2)=C1,,,0.0
958,CCCCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCOCC1,,0.0,
8888,[H]OC(=O)C([H])(N([H])C(=O)C([H])([H])OC1=C([H])C2=C(C([H])=C1[H])C1=C(C([H])=C([H])C([H])=C1[H])C(=O)O2)C([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],0.0,,
4974,[H]O\N=C(/N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1=C(C([H])=C([H])C([H])=C1[H])C1=C([H])C([H])=C([H])C([H])=C1[H],0.0,,
5821,[H]C([H])=C([H])C([H])([H])N([H])C1=NC(=C([H])S1)C1=C(N=C(S1)N([H])C(=O)C([H])([H])C([H])([H])[H])C([H])([H])[H],0.0,,
1708,COC1=CC(=O)OC(C=CC2=CC=CC(=C2)[N+]([O-])=O)=C1,,,0.0
6935,[H]N(C(=S)N(C([H])([H])C1=C([H])C([H])=C([H])O1)C([H])([H])C([H])([H])C1=C(N([H])C2=C1C([H])=C(C([H])=C2[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[H],0.0,,
3104,O=CC1=CC=C(C=C2CN3CCC2CC3)C=C1,,,0.0
7750,[H]C(=C(C(=O)OC([H])([H])C([H])([H])[H])C(=O)OC([H])([H])C([H])([H])[H])C1=C(OC([H])([H])[H])C([H])=C([H])C([H])=C1[H],0.0,,
5220,[H]O\N=C(\N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1=C([H])C([H])=C([H])C([H])=C1[H],0.0,,
1706,COC1=CC(=O)OC(CCC2=CC=CC=C2)=C1,,,0.0
2641,CC1(C)CC(C=CN1CC1=CC=C(C=C1)C(F)(F)F)=[N+]1CCCC1,,,0.0
810,CC(C)=CCCC1(C)C(CC=C(C)C)CC2(CC=C(C)C)C(O)=C(C(=O)C3=CC=C(O)C(OC(C)=O)=C3)C(=O)C1(CC=C(C)C)C2=O,,1.0,
5463,[H]N(C([H])([H])C([H])([H])OC([H])([H])[H])C([H])(C(=O)C12C([H])([H])C3([H])C([H])([H])C([H])(C([H])([H])C([H])(C3([H])[H])C1([H])[H])C2([H])[H])C([H])([H])[H],0.0,,
6503,[H]N1C(=C([H])C(=O)C([H])([H])[H])C(=O)OC2=C1C([H])=C([H])C([H])=C2[H],0.0,,
63,O=C(CC1=CC=CS1)NC1=CC=CC(=C1)C1=NN2C(C=C1)=NN=C2C1=CC=CN=C1,0.0,1.0,
1669,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2C(N)=O)C(N)=N)C(=C1)C(N)=O,,,1.0
6511,[H]C(=C([H])C1=C(Cl)C([H])=C(C([H])=N1)C(F)(F)F)C(=O)OC([H])([H])C1=C([H])C([H])=C([H])C([H])=C1[H],0.0,,
4933,[H]N(C(=O)C1=C([H])C2=C(N=C([H])S2)C([H])=C1[H])C1=NC(=C([H])S1)C1=NC([H])=C([H])C([H])=C1[H],1.0,,
8384,[H]OC1=C([H])C(=O)C(=O)C2=C1C(O[H])=C([H])C(O[H])=C2O[H],0.0,,
8713,[H]C1=NN(C([H])=N1)C1=C([H])C([H])=C(OC([H])([H])C2=C([H])C(=NO2)C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])(OC([H])([H])C([H])([H])C([H])([H])[H])C2([H])[H])C([H])=C1[H],0.0,,
7691,[H]C1=C([H])C2=C(C([H])=C1[H])C1(OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])O1)C(=O)N2C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],0.0,,
901,CN1CCN(CC1)C(C(=O)NC1=CC=C(NS(=O)(=O)C2=CC=CC=C2)C=C1C(=O)C1=CC=CC=C1)C1=CC=CC=C1,,1.0,
