ID,SMILES,Tb.rhodesiense
1026,CC(=O)NC1=CC=C(C=C1)C(=O)NCCOCCNC1=NC=NC2=C1N=CN2C1OC(CO)C(O)C1O,0
1028,OCC1OC(C(O)C1O)N1C=NC2=C1N=CN=C2NCCOCCNC(=O)C1=CC=CC(F)=C1,0
1030,OCC1OC(C(O)C1O)N1C=NC2=C1N=CN=C2NCCOCCNC(=O)C1=CC=C(F)C(F)=C1,0
1131,[O-][N+](=O)C1=NN(CCNS(=O)(=O)CC2=CC=CC=C2)C=N1,1
2117,ClC1=CC=C(SC2=CC=CC=C2)C(NC(=O)CC2=CC=CC=C2)=C1,0
1792,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,0
707,[O-][N+](=O)C1=CN=C(NC(=O)CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)S1,0
1068,CN(C)C12CC(C(CN(CCCN3CCCC3)C1)C(C2)C1=CC=CC=C1)C1=CC=CC=C1,1
940,CN(C)C12CC(OC(=O)CN3CCCC3)C(C(C1)C1=CC=CC=C1)C(C2)C1=CC=CC=C1,1
1844,NC(NN=CC1=CC=CC(=C1)C(N)=N)=NN=CC1=CC(=CC=C1)C(N)=N,1
1752,CC(C)CN(CC(O)C(CC1=CC=CC=C1)NC(=O)OC1COC2OCCC12)S(=O)(=O)C1=CC=C(N)C=C1,0
1110,CN1C=CN=C1S(=O)(=O)NCCN1C=NC(=N1)[N+]([O-])=O,0
1452,CC1=CC(C)=C(NC2=NC(NC3=CC=C(NC4=NC(NC5=C(C)C=C(C)C=C5C)=NC(NC5=CC=C(C=C5)C#N)=N4)C=C3)=NC(NC3=CC=C(C=C3)C#N)=N2)C(C)=C1,1
2239,CC1=CC=C(C=C1)C(=O)NC(=O)C1=CC=CC=C1O,0
2241,CS(=O)(=O)C1=CC=C(C=C1)C(=O)NC(=O)C1=CC=CC=C1O,0
2243,CCC1=CC=C(C=C1)C(=O)N(C)C(=O)C1=CC=CC=C1O,0
2244,OC1=CC=CC=C1C(=O)NC(=O)C1=CC=C(C=C1)[N+]([O-])=O,0
2246,OC1=CC=CC=C1C(=O)NC(=O)C1=CC=C(Cl)C=C1Cl,0
2248,CCN(CC)C1=CC=C(C=C1)C(=O)NC(=O)C1=CC=CC=C1O,0
